Function Stack;CPU Time:Total;CPU Time:Self;Memory Bound:Total(%);Memory Bound:L1 Bound:Total(%);Memory Bound:L2 Bound:Total(%);Memory Bound:L3 Bound:Total(%);Memory Bound:DRAM Bound:Total(%);Memory Bound:DRAM Bound:Memory Bandwidth:Total(%);Memory Bound:DRAM Bound:Memory Latency:Total(%);Memory Bound:Self(%);Memory Bound:L1 Bound:Self(%);Memory Bound:L2 Bound:Self(%);Memory Bound:L3 Bound:Self(%);Memory Bound:DRAM Bound:Self(%);Memory Bound:DRAM Bound:Memory Bandwidth:Self(%);Memory Bound:DRAM Bound:Memory Latency:Self(%);Loads:Total;Loads:Self;Stores:Total;Stores:Self;LLC Miss Count:Total;LLC Miss Count:Self;Average Latency (cycles):Total;Average Latency (cycles):Self;Module;Function (Full);Source File;Start Address
 TEncEntropy::encodeCoeff;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncEntropy::encodeCoeff(TComDataCU*, unsigned int, unsigned int, bool&, bool&);[Unknown];0x7dd00
 TEncEntropy::encodeQtCbfZero;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056822;9600288;0.0;0;;0;;6.250000;TAppEncoderStatic;TEncEntropy::encodeQtCbfZero(TComTU&, ChannelType);[Unknown];0x7dc90
 TEncEntropy::encodeTransformSubdivFlag;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TEncEntropy::encodeTransformSubdivFlag(unsigned int, unsigned int);[Unknown];0x7dc70
 TEncEntropy::xEncodeTransform;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.032046;2400072;;0;;0.0;TAppEncoderStatic;TEncEntropy::xEncodeTransform(bool&, bool&, TComTU&);[Unknown];0x7cfa0
 TEncGOP::xCalculateAddPSNR;0.015038;0.001000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncGOP::xCalculateAddPSNR(TComPic*, TComPicYuv*, AccessUnit const&, double, InputColourSpaceConversion, bool, bool, double*);[Unknown];0x46020
 TEncSampleAdaptiveOffset::deriveModeNewRDO;0.015038;0.001000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSampleAdaptiveOffset::deriveModeNewRDO(BitDepths const&, int, SAOBlkParam**, bool*, SAOStatData***, SAOBlkParam&, double&, TEncSbac**, int);[Unknown];0x6dbb0
 TEncSbac::codeCrossComponentPrediction;0.015038;0.001000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codeCrossComponentPrediction(TComTU&, ComponentID);[Unknown];0x805f0
 TEncSbac::codeMergeIndex;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TEncSbac::codeMergeIndex(TComDataCU*, unsigned int);[Unknown];0x7e1c0
 TEncSbac::codePartSize;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codePartSize(TComDataCU*, unsigned int, unsigned int);[Unknown];0x7e700
 TEncSbac::codeSkipFlag;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codeSkipFlag(TComDataCU*, unsigned int);[Unknown];0x7f450
 TEncSbac::codeTransformSubdivFlag;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codeTransformSubdivFlag(unsigned int, unsigned int);[Unknown];0x7e240
 TEncSbac::loadIntraDirMode;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::loadIntraDirMode(TEncSbac const*, ChannelType);[Unknown];0x81100
 TEncSearch::xEncCoeffQT;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.016023;1200036;;0;;7.000000;TAppEncoderStatic;TEncSearch::xEncCoeffQT(TComTU&, ComponentID, bool);[Unknown];0x84560
 TEncSearch::xPatternSearchFast;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSearch::xPatternSearchFast(TComDataCU const*, TComPattern const*, short const*, int, TComMv const*, TComMv const*, TComMv&, unsigned int&, TComMv const*);[Unknown];0x90aa0
 TEncSearch::xRecurIntraChromaCodingQT;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.064092;4800144;;0;;7.000000;TAppEncoderStatic;TEncSearch::xRecurIntraChromaCodingQT(TComYuv*, TComYuv*, TComYuv*, short (*)[4096], unsigned int&, TComTU&);[Unknown];0x88420
 TEncSearch::xTZ2PointSearch;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSearch::xTZ2PointSearch(TComPattern const*, TEncSearch::IntTZSearchStruct&, TComMv const*, TComMv const*);[Unknown];0x99580
 TVideoIOYuv::read;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TVideoIOYuv::read(TComPicYuv*, TComPicYuv*, InputColourSpaceConversion, int*, ChromaFormat, bool);[Unknown];0x120cb0
 TVideoIOYuv::write;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;TVideoIOYuv::write(TComPicYuv*, InputColourSpaceConversion, int, int, int, int, ChromaFormat, bool);[Unknown];0x1224d0
 _dl_fixup;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;ld-2.27.so;_dl_fixup;dl-runtime.c;0xfdf0
 func@0x9610;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092336;15600468;0.0;0;;0;;7.000000;TAppEncoderStatic;func@0x9610;[Unknown];0x9610
 operator new;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;libstdc++.so.6.0.25;operator new(unsigned long);[Unknown];0x93530
 partialButterflyInverse4;0.015038;0.001000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.080115;6000180;;0;;19.000000;TAppEncoderStatic;partialButterflyInverse4(int*, int*, int, int, int, int);[Unknown];0xf9040
 std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>>, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>>>::_M_erase;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;TAppEncoderStatic;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>>, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>>>::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const, std::__cxx11::list<df::program_options_lite::Options::Names*, std::allocator<df::program_options_lite::Options::Names*>>>>*);[Unknown];0x12ba00
 xITrMxN;0.015038;0.001000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.032046;2400072;;0;;0.0;TAppEncoderStatic;xITrMxN(int, int*, int*, int, int, bool, int);[Unknown];0x1007a0
 TComCUMvField::setAllMvd;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.042617;7200216;0.048069;3600108;;0;;11.000000;TAppEncoderStatic;TComCUMvField::setAllMvd(TComMv const&, PartSize, int, unsigned int, int);[Unknown];0xb9940
 TComDataCU::copyToPic;0.0;0.0;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TComDataCU::copyToPic(unsigned char);[Unknown];0xaaca0
 TComDataCU::getMvField;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TComDataCU::getMvField(TComDataCU const*, unsigned int, RefPicList, TComMvField&);[Unknown];0xae770
 TComDataCU::hasEqualMotion;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TComDataCU::hasEqualMotion(unsigned int, TComDataCU const*, unsigned int) const;[Unknown];0xaee40
 TComDataCU::initCtu;0.0;0.0;;;;;;;;;0.0;0.0;;;0.0;0.0;0.0;0;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TComDataCU::initCtu(TComPic*, unsigned int);[Unknown];0xa97e0
 TComDataCU::setMVPNumSubParts;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.035514;6000180;0.016023;1200036;;0;;8.400000;TAppEncoderStatic;TComDataCU::setMVPNumSubParts(int, RefPicList, unsigned int, unsigned int, unsigned int);[Unknown];0xae020
 TComDataCU::setMergeIndexSubParts;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TComDataCU::setMergeIndexSubParts(unsigned int, unsigned int, unsigned int, unsigned int);[Unknown];0xad5f0
 TComDataCU::setPartSizeSubParts;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TComDataCU::setPartSizeSubParts(PartSize, unsigned int, unsigned int);[Unknown];0xac880
 TComDataCU::setTransformSkipSubParts;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TComDataCU::setTransformSkipSubParts(unsigned int const*, unsigned int, unsigned int);[Unknown];0xae3b0
 TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)1>;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.021308;3600108;0.016023;1200036;;0;;0.0;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)1>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x10e210
 TComLoopFilter::loopFilterPic;0.0;0.0;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TComLoopFilter::loopFilterPic(TComPic*);[Unknown];0xb4e40
 TComPattern::initPattern;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.048069;3600108;;0;;12.000000;TAppEncoderStatic;TComPattern::initPattern(short*, int, int, int, int, int, int);[Unknown];0xbde30
 TComPrediction::filteringIntraReferenceSamples;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TComPrediction::filteringIntraReferenceSamples(ComponentID, unsigned int, unsigned int, unsigned int, ChromaFormat, bool);[Unknown];0xc0d90
 TComRdCost::setDistParamIntra;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TComRdCost::setDistParamIntra(DistParam&, int, short const*, int, short const*, int, int, int, bool);[Unknown];0xe7500
 TComTrQuant::invRdpcmNxN;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.014206;2400072;0.0;0;;0;;0.0;TAppEncoderStatic;TComTrQuant::invRdpcmNxN(TComTU&, ComponentID, short*, unsigned int);[Unknown];0x1027e0
 TComTrQuant::xITransformSkip;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.032046;2400072;;0;;0.0;TAppEncoderStatic;TComTrQuant::xITransformSkip(int*, short*, unsigned int, TComTU&, ComponentID);[Unknown];0x102ef0
 TEncCu::xComputeQP;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TEncCu::xComputeQP(TComDataCU*, unsigned int);[Unknown];0x78180
 TEncEntropy::encodePUWise;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.016023;1200036;;0;;0.0;TAppEncoderStatic;TEncEntropy::encodePUWise(TComDataCU*, unsigned int);[Unknown];0x7d780
 TEncSbac::codeMVPIdx;0.0;0.0;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codeMVPIdx(TComDataCU*, unsigned int, RefPicList);[Unknown];0x80050
 TEncSbac::codeQtRootCbf;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007103;1200036;0.0;0;;0;;0.0;TAppEncoderStatic;TEncSbac::codeQtRootCbf(TComDataCU*, unsigned int);[Unknown];0x7f9a0
 TEncSearch::xAddSymbolBitsInter;0.0;0.0;;;;;;;;-0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.014206;2400072;0.048069;3600108;;0;;0.0;TAppEncoderStatic;TEncSearch::xAddSymbolBitsInter(TComDataCU*, unsigned int&);[Unknown];0x93b00
 TEncSearch::xSetInterResidualQTData;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.0;0;;0;;7.000000;TAppEncoderStatic;TEncSearch::xSetInterResidualQTData(TComYuv*, bool, TComTU&);[Unknown];0x93700
 [sep5];0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.042617;7200216;0.128185;9600288;;0;;0.0;sep5;[sep5];[Unknown];0x0
 func@0x9760;0.0;0.0;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.0;0;;0;;0.0;TAppEncoderStatic;func@0x9760;[Unknown];0x9760
