Function Stack;CPU Time:Total;CPU Time:Self;Memory Bound:Total(%);Memory Bound:L1 Bound:Total(%);Memory Bound:L2 Bound:Total(%);Memory Bound:L3 Bound:Total(%);Memory Bound:DRAM Bound:Total(%);Memory Bound:DRAM Bound:Memory Bandwidth:Total(%);Memory Bound:DRAM Bound:Memory Latency:Total(%);Memory Bound:Self(%);Memory Bound:L1 Bound:Self(%);Memory Bound:L2 Bound:Self(%);Memory Bound:L3 Bound:Self(%);Memory Bound:DRAM Bound:Self(%);Memory Bound:DRAM Bound:Memory Bandwidth:Self(%);Memory Bound:DRAM Bound:Memory Latency:Self(%);Loads:Total;Loads:Self;Stores:Total;Stores:Self;LLC Miss Count:Total;LLC Miss Count:Self;Average Latency (cycles):Total;Average Latency (cycles):Self;Module;Function (Full);Source File;Start Address
 TEncSbac::codeCoeffNxN;1.759398;0.117000;;;;;;;;38.7;28.0;0.0;0.0;0.0;0.0;0.0;0.681867;115203456;1.217754;91202736;;0;;7.000000;TAppEncoderStatic;TEncSbac::codeCoeffNxN(TComTU&, int*, ComponentID);[Unknown];0x814e0
 TComRdCost::xGetExpGolombNumberOfBits;1.413534;0.094000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;19.2;1.505789;254407632;0.0;0;;0;;7.000000;TAppEncoderStatic;TComRdCost::xGetExpGolombNumberOfBits(int);[Unknown];0xe7300
 TComRdCost::xGetSAD64;1.127820;0.075000;;;;;;;;0.0;0.0;8.3;0.0;0.0;0.0;8.3;1.569714;265207956;0.0;0;;0;;7.000000;TAppEncoderStatic;TComRdCost::xGetSAD64(DistParam*);[Unknown];0xd1580
 __memset_avx2_erms;1.112782;0.074000;;;;;;;;8.7;0.0;0.0;0.0;0.0;0.0;8.8;0.092336;15600468;0.096138;7200216;;0;;0.0;libc-2.27.so;__memset_avx2_erms;memset-vec-unaligned-erms.S;0x18ef20
 TComTrQuant::getSigCtxInc;1.052632;0.070000;;;;;;;;;8.3;0.0;0.0;0.0;0.0;0.0;0.852333;144004320;0.144208;10800324;;0;;8.250000;TAppEncoderStatic;TComTrQuant::getSigCtxInc(int, TUEntropyCodingParameters const&, int, int, int, ChannelType);[Unknown];0x103530
 partialButterfly16;1.037594;0.069000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.257192;212406372;0.769108;57601728;;0;;7.052632;TAppEncoderStatic;partialButterfly16(int*, int*, int, int);[Unknown];0xfb140
 TEncSearch::xPatternRefinement;1.007519;0.067000;;;;;;;;21.1;33.3;0.0;0.0;0.0;0.0;0.0;0.546914;92402772;0.528761;39601188;;0;;7.000000;TAppEncoderStatic;TEncSearch::xPatternRefinement(TComPattern*, TComMv, int, TComMv&, bool);[Unknown];0x83ee0
 TEncBinCABACCounter::encodeBin;0.992481;0.066000;;;;;;;;0.0;20.2;0.0;0.0;0.0;0.0;0.0;0.802614;135604068;0.849223;63601908;;0;;7.071429;TAppEncoderStatic;TEncBinCABACCounter::encodeBin(unsigned int, ContextModel&);[Unknown];0x6bc40
 TComRdCost::xGetHADs;0.902256;0.060000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.653456;110403312;2.211184;165604968;;0;;8.772727;TAppEncoderStatic;TComRdCost::xGetHADs(DistParam*);[Unknown];0xea4e0
 TComPrediction::xPredInterUni;0.887218;0.059000;;;;;;;;-0.0;0.0;0.0;15.2;0.0;15.2;30.3;0.752894;127203816;0.592854;44401332;;0;;7.230769;TAppEncoderStatic;TComPrediction::xPredInterUni(TComDataCU*, unsigned int, int, int, RefPicList, TComYuv*, bool);[Unknown];0xc9860
 TComRdCost::xGetSSE8;0.857143;0.057000;;;;;;;;;24.7;0.0;0.0;0.0;0.0;0.0;0.838128;141604248;0.624900;46801404;;0;;8.666667;TAppEncoderStatic;TComRdCost::xGetSSE8(DistParam*);[Unknown];0xd7550
 partialButterfly32;0.842105;0.056000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.392144;235207056;0.544784;40801224;;0;;7.000000;TAppEncoderStatic;partialButterfly32(int*, int*, int, int);[Unknown];0xfca40
 TComRdCost::xGetSSE16;0.827068;0.055000;;;;;;;;0.0;12.6;0.0;0.0;0.0;0.0;12.6;0.575325;97202916;0.384554;28800864;;0;;42.750000;TAppEncoderStatic;TComRdCost::xGetSSE16(DistParam*);[Unknown];0xd8670
 TEncSearch::xPatternSearch;0.796992;0.053000;;;;;;;;0.0;42.6;0.0;0.0;0.0;0.0;0.0;0.234392;39601188;0.833200;62401872;;0;;7.000000;TAppEncoderStatic;TEncSearch::xPatternSearch(TComPattern const*, short const*, int, TComMv const*, TComMv const*, TComMv&, unsigned int&);[Unknown];0x8cac0
 partialButterfly8;0.796992;0.053000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;12.3;0.0;1.072519;181205436;0.737061;55201656;;0;;7.772727;TAppEncoderStatic;partialButterfly8(int*, int*, int, int);[Unknown];0xf9920
 TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)0>;0.706767;0.047000;;;;;;;;0.0;0.0;0.0;15.2;0.0;15.2;30.3;0.333831;56401692;0.288415;21600648;;0;;11.285714;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)4, (bool)0, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x10ea40
 TEncSbac::estBit;0.706767;0.047000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.314014;222006660;1.554238;116403492;;0;;6.961538;TAppEncoderStatic;TEncSbac::estBit(estBitsSbacStruct*, int, int, ChannelType, COEFF_SCAN_TYPE);[Unknown];0x82eb0
 TComYuv::addAvg;0.661654;0.044000;;;;;;;;0.0;0.0;0.0;0.0;0.0;9.8;0.0;0.383550;64801944;0.448646;33601008;;0;;7.727273;TAppEncoderStatic;TComYuv::addAvg(TComYuv const*, TComYuv const*, unsigned int, unsigned int, unsigned int, BitDepths const&);[Unknown];0xa05b0
 TComPrediction::xPredIntraAng;0.646617;0.043000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.085233;14400432;0.640923;48001440;;0;;7.285714;TAppEncoderStatic;TComPrediction::xPredIntraAng(int, short const*, int, short*, int, unsigned int, unsigned int, ChannelType, unsigned int, bool);[Unknown];0xc8960
 TComRdCost::xGetSSE32;0.646617;0.043000;;;;;;;;13.8;32.5;0.0;0.0;0.0;0.0;0.0;0.348036;58801764;0.208300;15600468;;0;;49.900000;TAppEncoderStatic;TComRdCost::xGetSSE32(DistParam*);[Unknown];0xda6d0
 partialButterfly4;0.646617;0.043000;;;;;;;;;0.0;0.0;0.0;0.0;14.2;0.0;0.710278;120003600;1.041500;78002340;;0;;7.000000;TAppEncoderStatic;partialButterfly4(int*, int*, int, int);[Unknown];0xf7eb0
 TComTrQuant::xT;0.616541;0.041000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.397756;67202016;1.089569;81602448;;0;;10.000000;TAppEncoderStatic;TComTrQuant::xT(int, bool, short*, unsigned int, int*, int, int, int);[Unknown];0x102a30
 TEncSearch::predInterSearch;0.586466;0.039000;;;;;;;;-0.0;0.0;13.1;0.0;0.0;0.0;0.0;0.220186;37201116;0.496715;37201116;;0;;12.000000;TAppEncoderStatic;TEncSearch::predInterSearch(TComDataCU*, TComYuv*, TComYuv*, TComYuv*, TComYuv*, bool, bool);[Unknown];0x95ff0
 TComRdCost::xGetSAD4;0.556391;0.037000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;11.3;0.958875;162004860;0.048069;3600108;;0;;7.700000;TAppEncoderStatic;TComRdCost::xGetSAD4(DistParam*);[Unknown];0xd0740
 TComYuv::copyPartToPartYuv;0.496241;0.033000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;31.7;0.0;0.269906;45601368;0.272392;20400612;;0;;7.000000;TAppEncoderStatic;TComYuv::copyPartToPartYuv(TComYuv*, unsigned int, unsigned int, unsigned int) const;[Unknown];0x9f700
 TEncSbac::estLastSignificantPositionBit;0.496241;0.033000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;16.7;0.539811;91202736;0.464669;34801044;;0;;7.125000;TAppEncoderStatic;TEncSbac::estLastSignificantPositionBit(estBitsSbacStruct*, int, int, ChannelType, COEFF_SCAN_TYPE);[Unknown];0x82cb0
 TEncSearch::xTZSearchHelp;0.481203;0.032000;;;;;;;;;13.1;0.0;0.0;0.0;0.0;13.1;0.511400;86402592;0.849223;63601908;;0;;8.100000;TAppEncoderStatic;TEncSearch::xTZSearchHelp(TComPattern const*, TEncSearch::IntTZSearchStruct&, int, int, unsigned char, unsigned int);[Unknown];0x99200
 getTUEntropyCodingParameters;0.466165;0.031000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.355139;60001800;0.608877;45601368;;0;;7.153846;TAppEncoderStatic;getTUEntropyCodingParameters(TUEntropyCodingParameters&, TComTU&, ComponentID);[Unknown];0xa8ba0
 TComRdCost::xGetSSE4;0.421053;0.028000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.667661;112803384;0.512738;38401152;;0;;7.000000;TAppEncoderStatic;TComRdCost::xGetSSE4(DistParam*);[Unknown];0xd6a10
 TComDataCU::initEstData;0.390977;0.026000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.518503;87602628;1.249800;93602808;;0;;7.777778;TAppEncoderStatic;TComDataCU::initEstData(unsigned int, int, bool);[Unknown];0xa9c10
 TComYuv::addClip;0.390977;0.026000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.355139;60001800;0.272392;20400612;;0;;8.000000;TAppEncoderStatic;TComYuv::addClip(TComYuv const*, TComYuv const*, unsigned int, unsigned int, BitDepths const&);[Unknown];0x9fde0
 TEncSearch::xIntraCodingTUBlock;0.390977;0.026000;;;;;;;;0.0;16.3;0.0;0.0;0.0;0.0;0.0;0.099439;16800504;0.528761;39601188;;0;;10.125000;TAppEncoderStatic;TEncSearch::xIntraCodingTUBlock(TComYuv*, TComYuv*, TComYuv*, short (*)[4096], bool, unsigned int&, ComponentID, TComTU&, int);[Unknown];0x859b0
 TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)0>;0.360902;0.024000;;;;;;;;0.0;41.7;0.0;0.0;0.0;0.0;0.0;0.561119;94802844;0.144208;10800324;;0;;9.400000;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)1, (bool)0, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x112cd0
 TEncSbac::estSignificantMapBit;0.345865;0.023000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.419064;70802124;0.512738;38401152;;0;;7.166667;TAppEncoderStatic;TEncSbac::estSignificantMapBit(estBitsSbacStruct*, int, int, ChannelType);[Unknown];0x82b50
 TComYuv::removeHighFreq;0.330827;0.022000;;;;;;;;0.0;35.1;0.0;0.0;0.0;0.0;0.0;0.198878;33601008;0.272392;20400612;;0;;7.000000;TAppEncoderStatic;TComYuv::removeHighFreq(TComYuv const*, unsigned int, unsigned int, unsigned int, int const*, bool);[Unknown];0xa11f0
 TComInterpolationFilter::filter<(int)8, (bool)1, (bool)1, (bool)1>;0.315789;0.021000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.369344;62401872;0.288415;21600648;;0;;8.444444;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)1, (bool)1, (bool)1>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x10f1f0
 TComInterpolationFilter::filterVer;0.315789;0.021000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.326728;55201656;0.144208;10800324;;0;;7.285714;TAppEncoderStatic;TComInterpolationFilter::filterVer(ComponentID, short*, int, short*, int, int, int, int, bool, bool, ChromaFormat, int);[Unknown];0x10baa0
 TComTrQuant::transformNxN;0.315789;0.021000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.390653;66001980;0.753084;56401692;;0;;8.750000;TAppEncoderStatic;TComTrQuant::transformNxN(TComTU&, ComponentID, short*, unsigned int, int*, int*, int&, QpParam const&);[Unknown];0x108730
 TComDataCU::fillMvpCand;0.300752;0.020000;;;;;;;;-0.0;0.0;27.8;0.0;0.0;0.0;55.6;0.142056;24000720;0.192277;14400432;;0;;10.500000;TAppEncoderStatic;TComDataCU::fillMvpCand(unsigned int, unsigned int, RefPicList, int, _AMVPInfo*) const;[Unknown];0xafc50
 TComPrediction::xPredInterBlk;0.300752;0.020000;;;;;;;;0.0;0.0;66.7;0.0;0.0;0.0;33.3;0.163364;27600828;0.080115;6000180;;0;;7.000000;TAppEncoderStatic;TComPrediction::xPredInterBlk(ComponentID, TComDataCU*, TComPicYuv*, unsigned int, TComMv*, int, int, TComYuv*, bool, int);[Unknown];0xca3d0
 TComRdCost::getDistPart;0.300752;0.020000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;78.4;0.404858;68402052;0.640923;48001440;;0;;7.500000;TAppEncoderStatic;TComRdCost::getDistPart(int, short const*, int, short const*, int, unsigned int, unsigned int, ComponentID, DFunc);[Unknown];0xe75c0
 TEncBinCABAC::copyState;0.300752;0.020000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;31.7;0.134953;22800684;0.272392;20400612;;0;;12.200000;TAppEncoderStatic;TEncBinCABAC::copyState(TEncBinIf const*);[Unknown];0x6ae50
 TComTU::TComTU;0.285714;0.019000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.369344;62401872;0.384554;28800864;;0;;10.500000;TAppEncoderStatic;TComTU::TComTU(TComTU&, bool, TComTU::TU_SPLIT_MODE, bool, ComponentID);[Unknown];0x10a440
 TComYuv::subtract;0.270677;0.018000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.305419;51601548;0.400577;30000900;;0;;7.000000;TAppEncoderStatic;TComYuv::subtract(TComYuv const*, TComYuv const*, unsigned int, unsigned int);[Unknown];0xa01e0
 TComDataCU::getInterMergeCandidates;0.255639;0.017000;;;;;;;;-0.0;0.0;30.3;0.0;0.0;0.0;100.0;0.149158;25200756;0.064092;4800144;;0;;0.0;TAppEncoderStatic;TComDataCU::getInterMergeCandidates(unsigned int, unsigned int, TComMvField*, unsigned char*, int&, unsigned int&, int) const;[Unknown];0xb0680
 [vmlinux];0.255639;0.017000;;;;;;;;6.1;60.6;0.0;30.3;0.0;0.0;90.9;0.014206;2400072;0.048069;3600108;;0;;7.000000;vmlinux;[vmlinux];[Unknown];0x0
 TComRdCost::xCalcHADIntra8x8;0.240602;0.016000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.092336;15600468;0.448646;33601008;;0;;20.285714;TAppEncoderStatic;TComRdCost::xCalcHADIntra8x8(short const*, short const*, int, int, int);[Unknown];0xeada0
 TComTrQuant::xQuant;0.240602;0.016000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.376447;63601908;0.656946;49201476;;0;;7.333333;TAppEncoderStatic;TComTrQuant::xQuant(TComTU&, int*, int*, int*, int&, ComponentID, QpParam const&);[Unknown];0x106310
 TEncSbac::xWriteCoefRemainExGolomb;0.225564;0.015000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078131;13200396;0.064092;4800144;;0;;7.000000;TAppEncoderStatic;TEncSbac::xWriteCoefRemainExGolomb(unsigned int, unsigned int&, bool, int);[Unknown];0x80ee0
 partialButterflyInverse32;0.225564;0.015000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.248597;42001260;0.128185;9600288;;0;;7.285714;TAppEncoderStatic;partialButterflyInverse32(int*, int*, int, int, int, int);[Unknown];0xfd8d0
 TComDataCU::xGetColMVP;0.210526;0.014000;;;;;;;;0.0;0.0;55.6;0.0;0.0;0.0;100.0;0.049719;8400252;0.048069;3600108;;0;;8.750000;TAppEncoderStatic;TComDataCU::xGetColMVP(RefPicList, int, int, TComMv&, int) const;[Unknown];0xaf9a0
 TComInterpolationFilter::filter<(int)8, (bool)1, (bool)1, (bool)0>;0.210526;0.014000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;41.7;0.277008;46801404;0.080115;6000180;;0;;7.416667;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)1, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x110570
 TComRdCost::calcRdCost;0.210526;0.014000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.205981;34801044;0.0;0;;0;;7.000000;TAppEncoderStatic;TComRdCost::calcRdCost(double, double, DFunc);[Unknown];0xe6ed0
 TEncSearch::xGetTemplateCost;0.210526;0.014000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177569;30000900;0.160231;12000360;;0;;6.666667;TAppEncoderStatic;TEncSearch::xGetTemplateCost(TComDataCU*, unsigned int, TComYuv*, TComYuv*, TComMv, int, int, RefPicList, int, int, int);[Unknown];0x8c1c0
 QpParam::QpParam;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127850;21600648;0.096138;7200216;;0;;6.000000;TAppEncoderStatic;QpParam::QpParam(TComDataCU const&, ComponentID);[Unknown];0xf7640
 TComDataCU::xAddMVPCandUnscaled;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;60.6;0.0;0.113644;19200576;0.048069;3600108;;0;;7.500000;TAppEncoderStatic;TComDataCU::xAddMVPCandUnscaled(_AMVPInfo&, RefPicList, int, unsigned int, MVP_DIR) const;[Unknown];0xaf440
 TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)1>;0.195489;0.013000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.134953;22800684;0.016023;1200036;;0;;7.500000;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)8, (bool)0, (bool)1, (bool)1>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x10bc90
 TComPrediction::initIntraPatternChType;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.049719;8400252;0.128185;9600288;;0;;0.0;TAppEncoderStatic;TComPrediction::initIntraPatternChType(TComTU&, ComponentID, bool);[Unknown];0xbf5d0
 TComTURecurse::nextSection;0.195489;0.013000;;;;;;;;0.0;78.4;0.0;0.0;0.0;0.0;0.0;0.291214;49201476;0.224323;16800504;;0;;7.250000;TAppEncoderStatic;TComTURecurse::nextSection(TComTU const&);[Unknown];0x10a840
 TComYuv::clear;0.195489;0.013000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.144208;10800324;;0;;0.0;TAppEncoderStatic;TComYuv::clear(void);[Unknown];0x9e7e0
 TEncSbac::codeQtCbf;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177569;30000900;0.080115;6000180;;0;;7.166667;TAppEncoderStatic;TEncSbac::codeQtCbf(TComTU&, ComponentID, bool);[Unknown];0x7f7d0
 TEncSearch::xEncodeInterResidualQT;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.269906;45601368;0.416600;31200936;;0;;7.250000;TAppEncoderStatic;TEncSearch::xEncodeInterResidualQT(ComponentID, TComTU&);[Unknown];0x90b40
 fillReferenceSamples;0.195489;0.013000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035514;6000180;0.064092;4800144;;0;;0.0;TAppEncoderStatic;fillReferenceSamples(int, short const*, short*, bool const*, int, int, int, int, int, unsigned int, unsigned int, int);[Unknown];0xbde60
 TComInterpolationFilter::filter<(int)4, (bool)1, (bool)0, (bool)1>;0.180451;0.012000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.170467;28800864;0.224323;16800504;;0;;7.000000;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)4, (bool)1, (bool)0, (bool)1>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x115300
 TComRdCost::xGetSSE64;0.180451;0.012000;;;;;;;;0.0;51.3;0.0;0.0;0.0;0.0;0.0;0.099439;16800504;0.032046;2400072;;0;;103.000000;TAppEncoderStatic;TComRdCost::xGetSSE64(DistParam*);[Unknown];0xde860
 TComTrQuant::xTransformSkip;0.180451;0.012000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.262803;44401332;0.272392;20400612;;0;;7.000000;TAppEncoderStatic;TComTrQuant::xTransformSkip(short*, unsigned int, int*, TComTU&, ComponentID);[Unknown];0x102c60
 TEncBinCABAC::getTEncBinCABAC;0.180451;0.012000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035514;6000180;0.0;0;;0;;7.000000;TAppEncoderStatic;TEncBinCABAC::getTEncBinCABAC(void) const;[Unknown];0x6bc00
 TEncSearch::xTZSearch;0.180451;0.012000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127850;21600648;0.272392;20400612;;0;;7.666667;TAppEncoderStatic;TEncSearch::xTZSearch(TComDataCU const*, TComPattern const*, short const*, int, TComMv const*, TComMv const*, TComMv&, unsigned int&, TComMv const*, bool);[Unknown];0x8cdb0
 TComPrediction::xPredInterBi;0.165414;0.011000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.156261;26400792;0.096138;7200216;;0;;7.500000;TAppEncoderStatic;TComPrediction::xPredInterBi(TComDataCU*, unsigned int, int, int, TComYuv*);[Unknown];0xc9dd0
 TComTrQuant::rdpcmNxN;0.165414;0.011000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.234392;39601188;0.833200;62401872;;0;;10.333333;TAppEncoderStatic;TComTrQuant::rdpcmNxN(TComTU&, ComponentID, short*, unsigned int, QpParam const&, int*, int&, RDPCMMode&);[Unknown];0x1083c0
 TEncSampleAdaptiveOffset::getBlkStats;0.165414;0.011000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;60.6;0.0;0;0.272392;20400612;;0;;54.400000;TAppEncoderStatic;TEncSampleAdaptiveOffset::getBlkStats(ComponentID, int, SAOStatData*, short*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool);[Unknown];0x70310
 TEncSbac::load;0.165414;0.011000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.099439;16800504;0.384554;28800864;;0;;7.500000;TAppEncoderStatic;TEncSbac::load(TEncSbac const*);[Unknown];0x810b0
 TEncSearch::xExtDIFUpSamplingQ;0.165414;0.011000;;;;;;;;6.2;0.0;41.7;0.0;0.0;0.0;41.7;0.149158;25200756;0.160231;12000360;;0;;6.500000;TAppEncoderStatic;TEncSearch::xExtDIFUpSamplingQ(TComPattern*, TComMv);[Unknown];0x94640
 TEncSearch::xMotionEstimation.constprop.111;0.165414;0.011000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.071028;12000360;0.192277;14400432;;0;;7.000000;TAppEncoderStatic;TEncSearch::xMotionEstimation(TComDataCU*, TComYuv*, int, RefPicList, TComMv*, int, TComMv&, unsigned int&, unsigned int&, bool).constprop.111;[Unknown];0x958f0
 TComCUMvField::setAllMvField;0.150376;0.010000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.127850;21600648;0.112162;8400252;;0;;9.333333;TAppEncoderStatic;TComCUMvField::setAllMvField(TComMvField const&, PartSize, int, unsigned int, int);[Unknown];0xbbb80
 TComDataCU::clipMv;0.150376;0.010000;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.149158;25200756;0.320461;24000720;;0;;8.750000;TAppEncoderStatic;TComDataCU::clipMv(TComMv&) const;[Unknown];0xaf310
 TComInterpolationFilter::filterHor;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;95.2;0.149158;25200756;0.144208;10800324;;0;;15.000000;TAppEncoderStatic;TComInterpolationFilter::filterHor(ComponentID, short*, int, short*, int, int, int, int, bool, ChromaFormat, int);[Unknown];0x10b960
 TEncBinCABACCounter::getNumWrittenBits;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056822;9600288;0.096138;7200216;;0;;7.000000;TAppEncoderStatic;TEncBinCABACCounter::getNumWrittenBits(void);[Unknown];0x6bd30
 TEncSbac::codeIntraDirLumaAng;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.160231;12000360;;0;;0.0;TAppEncoderStatic;TEncSbac::codeIntraDirLumaAng(TComDataCU*, unsigned int, bool);[Unknown];0x7f4b0
 TEncSbac::store;0.150376;0.010000;;;;;;;;;0.0;47.6;0.0;0.0;47.6;47.6;0.049719;8400252;0.176254;13200396;;0;;0.0;TAppEncoderStatic;TEncSbac::store(TEncSbac*) const;[Unknown];0x81180
 TEncSearch::encodeResAndCalcRdInterCU;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;83.3;0.078131;13200396;0.176254;13200396;;0;;24.000000;TAppEncoderStatic;TEncSearch::encodeResAndCalcRdInterCU(TComDataCU*, TComYuv*, TComYuv*, TComYuv*, TComYuv*, TComYuv*, bool);[Unknown];0x93d40
 TEncSearch::xExtDIFUpSamplingH;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.113644;19200576;0.112162;8400252;;0;;0.0;TAppEncoderStatic;TEncSearch::xExtDIFUpSamplingH(TComPattern*);[Unknown];0x94430
 __memset_chk_avx2_unaligned_erms;0.150376;0.010000;;;;;;;;44.4;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;;0;;0.0;libc-2.27.so;__memset_chk_avx2_unaligned_erms;memset-vec-unaligned-erms.S;0x18ef40
 partialButterflyInverse16;0.150376;0.010000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.099439;16800504;0.080115;6000180;;0;;9.400000;TAppEncoderStatic;partialButterflyInverse16(int*, int*, int, int, int, int);[Unknown];0xfbcd0
 partialButterflyInverse8;0.150376;0.010000;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021308;3600108;0.048069;3600108;;0;;7.000000;TAppEncoderStatic;partialButterflyInverse8(int*, int*, int, int, int, int);[Unknown];0xf9c90
 TComDataCU::getCoefScanIdx;0.135338;0.009000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056822;9600288;0.0;0;;0;;6.500000;TAppEncoderStatic;TComDataCU::getCoefScanIdx(unsigned int, unsigned int, unsigned int, ComponentID) const;[Unknown];0xb1ef0
 TComInterpolationFilter::filter<(int)4, (bool)1, (bool)0, (bool)0>;0.135338;0.009000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.191775;32400972;0.192277;14400432;;0;;7.000000;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)4, (bool)1, (bool)0, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x115e20
 TComInterpolationFilter::filter<(int)4, (bool)1, (bool)1, (bool)0>;0.135338;0.009000;;;;;;;;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.063925;10800324;0.032046;2400072;;0;;7.000000;TAppEncoderStatic;void TComInterpolationFilter::filter<(int)4, (bool)1, (bool)1, (bool)0>(int, short const*, int, short*, int, int, int, short const*);[Unknown];0x114940
